partij,age,gender,geo,percentage geslacht/leeftijd,percentage regio,percentage totaal
PvdD,65+,vrouw,Drenthe,"6,31","3,53","0,31"
SGP,65+,vrouw,Drenthe,"6,32","1,93","0,12"
SP,65+,vrouw,Drenthe,"17,44","5,46","0,96"
VVD,65+,vrouw,Drenthe,"5,41","3,81","0,23"
50Plus,13-17,man,Drenthe,0,"4,96",0
CDA,13-17,man,Drenthe,0,"8,77",0
ChristenUnie,13-17,man,Drenthe,0,"4,3",0
D66,13-17,man,Drenthe,0,"4,1",0
DENK,13-17,man,Drenthe,0,"2,65",0
FvD,13-17,man,Drenthe,"0,08","5,1",0
GroenLinks,13-17,man,Drenthe,0,"2,36",0
PvdA,13-17,man,Drenthe,"0,04","25,65","0,01"
PvdD,13-17,man,Drenthe,"0,88","3,53","0,03"
SGP,13-17,man,Drenthe,0,"1,93",0
SP,13-17,man,Drenthe,0,"5,46",0
VVD,13-17,man,Drenthe,0,"3,81",0
50Plus,18-24,man,Drenthe,0,"4,96",0
CDA,18-24,man,Drenthe,"2,05","8,77","0,09"
ChristenUnie,18-24,man,Drenthe,"3,2","4,3","0,14"
D66,18-24,man,Drenthe,"9,72","4,1","0,31"
DENK,18-24,man,Drenthe,"15,15","2,65","1,09"
FvD,18-24,man,Drenthe,"8,35","5,1","0,41"
GroenLinks,18-24,man,Drenthe,"10,68","2,36","0,2"
PvdA,18-24,man,Drenthe,"6,34","25,65","1,02"
PvdD,18-24,man,Drenthe,"10,03","3,53","0,31"
SGP,18-24,man,Drenthe,"13,65","1,93","0,26"
SP,18-24,man,Drenthe,"2,84","5,46","0,33"
VVD,18-24,man,Drenthe,"12,14","3,81","0,38"
50Plus,25-34,man,Drenthe,0,"4,96",0
CDA,25-34,man,Drenthe,"8,66","8,77","0,51"
ChristenUnie,25-34,man,Drenthe,"6,42","4,3","0,28"
D66,25-34,man,Drenthe,"8,99","4,1","0,25"
DENK,25-34,man,Drenthe,"14,36","2,65","0,5"
FvD,25-34,man,Drenthe,"15,64","5,1","0,75"
GroenLinks,25-34,man,Drenthe,"10,85","2,36","0,21"
PvdA,25-34,man,Drenthe,"6,18","25,65","1,12"
PvdD,25-34,man,Drenthe,"9,42","3,53","0,32"
SGP,25-34,man,Drenthe,"17,04","1,93","0,32"
SP,25-34,man,Drenthe,"4,03","5,46","0,15"
VVD,25-34,man,Drenthe,"15,27","3,81","0,53"
50Plus,35-44,man,Drenthe,0,"4,96",0
CDA,35-44,man,Drenthe,"8,68","8,77","0,58"
ChristenUnie,35-44,man,Drenthe,"6,36","4,3","0,27"
D66,35-44,man,Drenthe,"5,85","4,1","0,2"
DENK,35-44,man,Drenthe,"13,91","2,65","0,37"
FvD,35-44,man,Drenthe,"11,83","5,1","0,62"
GroenLinks,35-44,man,Drenthe,"3,84","2,36","0,08"
PvdA,35-44,man,Drenthe,"4,01","25,65","1,14"
PvdD,35-44,man,Drenthe,"4,49","3,53","0,17"
SGP,35-44,man,Drenthe,"8,93","1,93","0,17"
SP,35-44,man,Drenthe,"4,81","5,46","0,23"
VVD,35-44,man,Drenthe,"10,82","3,81","0,41"
50Plus,45-54,man,Drenthe,0,"4,96",0
CDA,45-54,man,Drenthe,"10,58","8,77","1,08"
ChristenUnie,45-54,man,Drenthe,"6,44","4,3","0,28"
D66,45-54,man,Drenthe,"7,76","4,1","0,39"
DENK,45-54,man,Drenthe,"8,34","2,65","0,04"
FvD,45-54,man,Drenthe,"13,37","5,1","0,69"
GroenLinks,45-54,man,Drenthe,"3,73","2,36","0,11"
PvdA,45-54,man,Drenthe,"4,86","25,65","1,45"
PvdD,45-54,man,Drenthe,"4,72","3,53","0,21"
SGP,45-54,man,Drenthe,"7,64","1,93","0,15"
SP,45-54,man,Drenthe,"8,82","5,46","0,44"
VVD,45-54,man,Drenthe,"12,66","3,81","0,5"
50Plus,55-64,man,Drenthe,"9,27","4,96","0,44"
CDA,55-64,man,Drenthe,"12,1","8,77","1,49"
ChristenUnie,55-64,man,Drenthe,"6,03","4,3","0,26"
D66,55-64,man,Drenthe,"7,88","4,1","0,39"
DENK,55-64,man,Drenthe,"6,69","2,65",0
FvD,55-64,man,Drenthe,"11,44","5,1","0,6"
GroenLinks,55-64,man,Drenthe,"3,88","2,36","0,13"
PvdA,55-64,man,Drenthe,"6,49","25,65","1,64"
PvdD,55-64,man,Drenthe,"5,33","3,53","0,25"
SGP,55-64,man,Drenthe,"5,51","1,93","0,11"
SP,55-64,man,Drenthe,"16,34","5,46","1,08"
VVD,55-64,man,Drenthe,"8,89","3,81","0,39"
50Plus,65+,man,Drenthe,"34,89","4,96","1,7"
CDA,65+,man,Drenthe,"18,14","8,77","1,93"
ChristenUnie,65+,man,Drenthe,"8,03","4,3","0,36"
D66,65+,man,Drenthe,"7,58","4,1","0,36"
DENK,65+,man,Drenthe,"5,74","2,65",0
FvD,65+,man,Drenthe,"8,9","5,1","0,47"
GroenLinks,65+,man,Drenthe,"4,29","2,36","0,17"
PvdA,65+,man,Drenthe,"7,13","25,65","1,89"
PvdD,65+,man,Drenthe,"4,61","3,53","0,22"
SGP,65+,man,Drenthe,"5,23","1,93","0,1"
SP,65+,man,Drenthe,"22,12","5,46","1,21"
VVD,65+,man,Drenthe,"5,96","3,81","0,27"
50Plus,13-17,onbekend,Drenthe,0,"4,96",0
CDA,13-17,onbekend,Drenthe,0,"8,77",0
ChristenUnie,13-17,onbekend,Drenthe,0,"4,3",0
D66,13-17,onbekend,Drenthe,0,"4,1",0
DENK,13-17,onbekend,Drenthe,0,"2,65",0
FvD,13-17,onbekend,Drenthe,0,"5,1",0
GroenLinks,13-17,onbekend,Drenthe,0,"2,36",0
PvdA,13-17,onbekend,Drenthe,0,"25,65",0
PvdD,13-17,onbekend,Drenthe,"0,01","3,53",0
SGP,13-17,onbekend,Drenthe,0,"1,93",0
SP,13-17,onbekend,Drenthe,0,"5,46",0
VVD,13-17,onbekend,Drenthe,0,"3,81",0
50Plus,18-24,onbekend,Drenthe,0,"4,96",0
CDA,18-24,onbekend,Drenthe,0,"8,77",0
ChristenUnie,18-24,onbekend,Drenthe,"0,01","4,3",0
D66,18-24,onbekend,Drenthe,"0,07","4,1",0
DENK,18-24,onbekend,Drenthe,"0,07","2,65",0
FvD,18-24,onbekend,Drenthe,"0,01","5,1",0
GroenLinks,18-24,onbekend,Drenthe,"0,12","2,36",0
PvdA,18-24,onbekend,Drenthe,"0,06","25,65",0
PvdD,18-24,onbekend,Drenthe,"0,08","3,53",0
SGP,18-24,onbekend,Drenthe,"0,01","1,93",0
SP,18-24,onbekend,Drenthe,"0,01","5,46",0
VVD,18-24,onbekend,Drenthe,"0,05","3,81",0
50Plus,25-34,onbekend,Drenthe,0,"4,96",0
CDA,25-34,onbekend,Drenthe,"0,04","8,77",0
ChristenUnie,25-34,onbekend,Drenthe,"0,01","4,3",0
D66,25-34,onbekend,Drenthe,"0,08","4,1",0
DENK,25-34,onbekend,Drenthe,"0,08","2,65",0
FvD,25-34,onbekend,Drenthe,"0,03","5,1",0
GroenLinks,25-34,onbekend,Drenthe,"0,15","2,36",0
PvdA,25-34,onbekend,Drenthe,"0,04","25,65",0
PvdD,25-34,onbekend,Drenthe,"0,09","3,53",0
SGP,25-34,onbekend,Drenthe,"0,03","1,93",0
SP,25-34,onbekend,Drenthe,"0,02","5,46",0
VVD,25-34,onbekend,Drenthe,"0,06","3,81",0
50Plus,35-44,onbekend,Drenthe,0,"4,96",0
CDA,35-44,onbekend,Drenthe,"0,08","8,77","0,01"
ChristenUnie,35-44,onbekend,Drenthe,"0,08","4,3",0
D66,35-44,onbekend,Drenthe,"0,07","4,1",0
DENK,35-44,onbekend,Drenthe,"0,11","2,65",0
FvD,35-44,onbekend,Drenthe,"0,07","5,1","0,01"
GroenLinks,35-44,onbekend,Drenthe,"0,08","2,36",0
PvdA,35-44,onbekend,Drenthe,"0,08","25,65","0,01"
PvdD,35-44,onbekend,Drenthe,"0,08","3,53",0
SGP,35-44,onbekend,Drenthe,"0,06","1,93",0
SP,35-44,onbekend,Drenthe,"0,03","5,46",0
VVD,35-44,onbekend,Drenthe,"0,1","3,81",0
50Plus,45-54,onbekend,Drenthe,0,"4,96",0
CDA,45-54,onbekend,Drenthe,"0,06","8,77","0,01"
ChristenUnie,45-54,onbekend,Drenthe,"0,07","4,3",0
D66,45-54,onbekend,Drenthe,"0,08","4,1",0
DENK,45-54,onbekend,Drenthe,"0,08","2,65",0
FvD,45-54,onbekend,Drenthe,"0,05","5,1",0
GroenLinks,45-54,onbekend,Drenthe,"0,06","2,36",0
PvdA,45-54,onbekend,Drenthe,"0,08","25,65","0,01"
PvdD,45-54,onbekend,Drenthe,"0,05","3,53",0
SGP,45-54,onbekend,Drenthe,"0,02","1,93",0
SP,45-54,onbekend,Drenthe,"0,04","5,46",0
VVD,45-54,onbekend,Drenthe,"0,09","3,81",0
50Plus,55-64,onbekend,Drenthe,"0,07","4,96",0
CDA,55-64,onbekend,Drenthe,"0,05","8,77","0,01"
ChristenUnie,55-64,onbekend,Drenthe,"0,05","4,3",0
D66,55-64,onbekend,Drenthe,"0,07","4,1",0
DENK,55-64,onbekend,Drenthe,"0,04","2,65",0
FvD,55-64,onbekend,Drenthe,"0,03","5,1",0
GroenLinks,55-64,onbekend,Drenthe,"0,03","2,36",0
PvdA,55-64,onbekend,Drenthe,"0,06","25,65","0,01"
PvdD,55-64,onbekend,Drenthe,"0,03","3,53",0
SGP,55-64,onbekend,Drenthe,"0,02","1,93",0
SP,55-64,onbekend,Drenthe,"0,08","5,46",0
VVD,55-64,onbekend,Drenthe,"0,05","3,81",0
50Plus,65+,onbekend,Drenthe,"0,27","4,96","0,01"
CDA,65+,onbekend,Drenthe,"0,06","8,77","0,01"
ChristenUnie,65+,onbekend,Drenthe,"0,07","4,3",0
D66,65+,onbekend,Drenthe,"0,07","4,1",0
DENK,65+,onbekend,Drenthe,"0,04","2,65",0
FvD,65+,onbekend,Drenthe,"0,04","5,1",0
GroenLinks,65+,onbekend,Drenthe,"0,04","2,36",0
PvdA,65+,onbekend,Drenthe,"0,05","25,65",0
PvdD,65+,onbekend,Drenthe,"0,03","3,53",0
SGP,65+,onbekend,Drenthe,"0,01","1,93",0
SP,65+,onbekend,Drenthe,"0,08","5,46",0
VVD,65+,onbekend,Drenthe,"0,05","3,81",0
50Plus,13-17,vrouw,Flevoland,0,"2,05",0
CDA,13-17,vrouw,Flevoland,0,"2,07",0
ChristenUnie,13-17,vrouw,Flevoland,0,"3,64",0
D66,13-17,vrouw,Flevoland,0,"3,06",0
DENK,13-17,vrouw,Flevoland,0,"2,52",0
FvD,13-17,vrouw,Flevoland,"0,01","2,27",0
GroenLinks,13-17,vrouw,Flevoland,0,"2,17",0
PvdA,13-17,vrouw,Flevoland,"0,09","24,29","0,02"
PvdD,13-17,vrouw,Flevoland,"1,01","2,22","0,03"
SGP,13-17,vrouw,Flevoland,0,"6,39",0
SP,13-17,vrouw,Flevoland,0,"2,18",0
VVD,13-17,vrouw,Flevoland,0,"2,24",0
50Plus,18-24,vrouw,Flevoland,0,"2,05",0
CDA,18-24,vrouw,Flevoland,"0,89","2,07","0,03"
ChristenUnie,18-24,vrouw,Flevoland,"3,11","3,64","0,11"
D66,18-24,vrouw,Flevoland,"13,58","3,06","0,4"
DENK,18-24,vrouw,Flevoland,"6,32","2,52","0,32"
FvD,18-24,vrouw,Flevoland,"2,21","2,27","0,05"
GroenLinks,18-24,vrouw,Flevoland,"21,77","2,17","0,5"
PvdA,18-24,vrouw,Flevoland,"17,59","24,29","2,87"
PvdD,18-24,vrouw,Flevoland,"21,32","2,22","0,5"
SGP,18-24,vrouw,Flevoland,"9,08","6,39","0,6"
SP,18-24,vrouw,Flevoland,"1,41","2,18","0,01"
VVD,18-24,vrouw,Flevoland,"5,6","2,24","0,12"
50Plus,25-34,vrouw,Flevoland,0,"2,05",0
CDA,25-34,vrouw,Flevoland,"6,09","2,07","0,1"
ChristenUnie,25-34,vrouw,Flevoland,"7,48","3,64","0,29"
D66,25-34,vrouw,Flevoland,"8,1","3,06","0,23"
DENK,25-34,vrouw,Flevoland,"5,59","2,52","0,13"
FvD,25-34,vrouw,Flevoland,"3,3","2,27","0,07"
GroenLinks,25-34,vrouw,Flevoland,"15,95","2,17","0,36"
PvdA,25-34,vrouw,Flevoland,"11,71","24,29","2,52"
PvdD,25-34,vrouw,Flevoland,"14,15","2,22","0,31"
SGP,25-34,vrouw,Flevoland,"9,39","6,39","0,61"
SP,25-34,vrouw,Flevoland,"2,11","2,18","0,03"
VVD,25-34,vrouw,Flevoland,"5,61","2,24","0,12"
50Plus,35-44,vrouw,Flevoland,0,"2,05",0
CDA,35-44,vrouw,Flevoland,"6,21","2,07","0,1"
ChristenUnie,35-44,vrouw,Flevoland,"10,65","3,64","0,41"
D66,35-44,vrouw,Flevoland,"5,61","3,06","0,18"
DENK,35-44,vrouw,Flevoland,"6,08","2,52","0,12"
FvD,35-44,vrouw,Flevoland,"3,71","2,27","0,08"
GroenLinks,35-44,vrouw,Flevoland,"5,88","2,17","0,12"
PvdA,35-44,vrouw,Flevoland,"7,68","24,29","2,34"
PvdD,35-44,vrouw,Flevoland,"6,88","2,22","0,14"
SGP,35-44,vrouw,Flevoland,"6,22","6,39","0,4"
SP,35-44,vrouw,Flevoland,"2,8","2,18","0,05"
VVD,35-44,vrouw,Flevoland,"4,86","2,24","0,12"
50Plus,45-54,vrouw,Flevoland,0,"2,05",0
CDA,45-54,vrouw,Flevoland,"7,4","2,07","0,13"
ChristenUnie,45-54,vrouw,Flevoland,"11,37","3,64","0,43"
D66,45-54,vrouw,Flevoland,"7,52","3,06","0,26"
DENK,45-54,vrouw,Flevoland,"4,66","2,52","0,01"
FvD,45-54,vrouw,Flevoland,"5,52","2,27","0,12"
GroenLinks,45-54,vrouw,Flevoland,"6,8","2,17","0,14"
PvdA,45-54,vrouw,Flevoland,"7,68","24,29","2,97"
PvdD,45-54,vrouw,Flevoland,"4,92","2,22","0,11"
SGP,45-54,vrouw,Flevoland,"5,77","6,39","0,37"
SP,45-54,vrouw,Flevoland,"5,26","2,18","0,12"
VVD,45-54,vrouw,Flevoland,"6,61","2,24","0,15"
50Plus,55-64,vrouw,Flevoland,"9,36","2,05","0,19"
CDA,55-64,vrouw,Flevoland,"7,91","2,07","0,16"
ChristenUnie,55-64,vrouw,Flevoland,"11,67","3,64","0,43"
D66,55-64,vrouw,Flevoland,"8,03","3,06","0,26"
DENK,55-64,vrouw,Flevoland,"5,54","2,52",0
FvD,55-64,vrouw,Flevoland,"7,77","2,27","0,17"
GroenLinks,55-64,vrouw,Flevoland,"5,42","2,17","0,11"
PvdA,55-64,vrouw,Flevoland,"9,32","24,29","2,95"
PvdD,55-64,vrouw,Flevoland,"5,56","2,22","0,12"
SGP,55-64,vrouw,Flevoland,"5,08","6,39","0,33"
SP,55-64,vrouw,Flevoland,"11,75","2,18","0,27"
VVD,55-64,vrouw,Flevoland,"5,76","2,24","0,13"
50Plus,65+,vrouw,Flevoland,"46,14","2,05","0,93"
CDA,65+,vrouw,Flevoland,"10,99","2,07","0,26"
ChristenUnie,65+,vrouw,Flevoland,"18,94","3,64","0,65"
D66,65+,vrouw,Flevoland,"8,75","3,06","0,27"
DENK,65+,vrouw,Flevoland,"7,22","2,52",0
FvD,65+,vrouw,Flevoland,"7,63","2,27","0,17"
GroenLinks,65+,vrouw,Flevoland,"6,42","2,17","0,17"
PvdA,65+,vrouw,Flevoland,"10,51","24,29","2,77"
PvdD,65+,vrouw,Flevoland,"6,31","2,22","0,13"
SGP,65+,vrouw,Flevoland,"6,32","6,39","0,4"
SP,65+,vrouw,Flevoland,"17,44","2,18","0,41"
VVD,65+,vrouw,Flevoland,"5,41","2,24","0,11"
50Plus,13-17,man,Flevoland,0,"2,05",0
CDA,13-17,man,Flevoland,0,"2,07",0
ChristenUnie,13-17,man,Flevoland,0,"3,64",0
D66,13-17,man,Flevoland,0,"3,06",0
DENK,13-17,man,Flevoland,0,"2,52",0
FvD,13-17,man,Flevoland,"0,08","2,27",0
GroenLinks,13-17,man,Flevoland,0,"2,17",0
PvdA,13-17,man,Flevoland,"0,04","24,29","0,01"
PvdD,13-17,man,Flevoland,"0,88","2,22","0,02"
SGP,13-17,man,Flevoland,0,"6,39",0
SP,13-17,man,Flevoland,0,"2,18",0
VVD,13-17,man,Flevoland,0,"2,24",0
50Plus,18-24,man,Flevoland,0,"2,05",0
CDA,18-24,man,Flevoland,"2,05","2,07","0,05"
ChristenUnie,18-24,man,Flevoland,"3,2","3,64","0,12"
D66,18-24,man,Flevoland,"9,72","3,06","0,27"
DENK,18-24,man,Flevoland,"15,15","2,52","0,89"
FvD,18-24,man,Flevoland,"8,35","2,27","0,19"
GroenLinks,18-24,man,Flevoland,"10,68","2,17","0,22"
PvdA,18-24,man,Flevoland,"6,34","24,29","0,96"
PvdD,18-24,man,Flevoland,"10,03","2,22","0,23"
SGP,18-24,man,Flevoland,"13,65","6,39","0,88"
SP,18-24,man,Flevoland,"2,84","2,18","0,03"
VVD,18-24,man,Flevoland,"12,14","2,24","0,24"
50Plus,25-34,man,Flevoland,0,"2,05",0
CDA,25-34,man,Flevoland,"8,66","2,07","0,13"
ChristenUnie,25-34,man,Flevoland,"6,42","3,64","0,23"
D66,25-34,man,Flevoland,"8,99","3,06","0,26"
DENK,25-34,man,Flevoland,"14,36","2,52","0,53"
FvD,25-34,man,Flevoland,"15,64","2,27","0,37"
GroenLinks,25-34,man,Flevoland,"10,85","2,17","0,21"
PvdA,25-34,man,Flevoland,"6,18","24,29","1,07"
PvdD,25-34,man,Flevoland,"9,42","2,22","0,21"
SGP,25-34,man,Flevoland,"17,04","6,39","1,08"
SP,25-34,man,Flevoland,"4,03","2,18","0,07"
VVD,25-34,man,Flevoland,"15,27","2,24","0,33"
50Plus,35-44,man,Flevoland,0,"2,05",0
CDA,35-44,man,Flevoland,"8,68","2,07","0,16"
ChristenUnie,35-44,man,Flevoland,"6,36","3,64","0,23"
D66,35-44,man,Flevoland,"5,85","3,06","0,18"
DENK,35-44,man,Flevoland,"13,91","2,52","0,46"
FvD,35-44,man,Flevoland,"11,83","2,27","0,28"
GroenLinks,35-44,man,Flevoland,"3,84","2,17","0,07"
PvdA,35-44,man,Flevoland,"4,01","24,29","0,94"
PvdD,35-44,man,Flevoland,"4,49","2,22","0,09"
SGP,35-44,man,Flevoland,"8,93","6,39","0,57"
SP,35-44,man,Flevoland,"4,81","2,18","0,1"
VVD,35-44,man,Flevoland,"10,82","2,24","0,26"
50Plus,45-54,man,Flevoland,0,"2,05",0
CDA,45-54,man,Flevoland,"10,58","2,07","0,2"
ChristenUnie,45-54,man,Flevoland,"6,44","3,64","0,23"
D66,45-54,man,Flevoland,"7,76","3,06","0,24"
DENK,45-54,man,Flevoland,"8,34","2,52","0,05"
FvD,45-54,man,Flevoland,"13,37","2,27","0,31"
GroenLinks,45-54,man,Flevoland,"3,73","2,17","0,08"
PvdA,45-54,man,Flevoland,"4,86","24,29","1,42"
PvdD,45-54,man,Flevoland,"4,72","2,22","0,1"
SGP,45-54,man,Flevoland,"7,64","6,39","0,48"
SP,45-54,man,Flevoland,"8,82","2,18","0,2"
VVD,45-54,man,Flevoland,"12,66","2,24","0,3"
50Plus,55-64,man,Flevoland,"9,27","2,05","0,19"
CDA,55-64,man,Flevoland,"12,1","2,07","0,27"
ChristenUnie,55-64,man,Flevoland,"6,03","3,64","0,21"
D66,55-64,man,Flevoland,"7,88","3,06","0,26"
DENK,55-64,man,Flevoland,"6,69","2,52",0
FvD,55-64,man,Flevoland,"11,44","2,27","0,26"
GroenLinks,55-64,man,Flevoland,"3,88","2,17","0,09"
PvdA,55-64,man,Flevoland,"6,49","24,29","1,47"
PvdD,55-64,man,Flevoland,"5,33","2,22","0,11"
SGP,55-64,man,Flevoland,"5,51","6,39","0,34"
SP,55-64,man,Flevoland,"16,34","2,18","0,37"
VVD,55-64,man,Flevoland,"8,89","2,24","0,21"
50Plus,65+,man,Flevoland,"34,89","2,05","0,73"
CDA,65+,man,Flevoland,"18,14","2,07","0,47"
ChristenUnie,65+,man,Flevoland,"8,03","3,64","0,27"
D66,65+,man,Flevoland,"7,58","3,06","0,24"
DENK,65+,man,Flevoland,"5,74","2,52",0
FvD,65+,man,Flevoland,"8,9","2,27","0,2"
GroenLinks,65+,man,Flevoland,"4,29","2,17","0,11"
PvdA,65+,man,Flevoland,"7,13","24,29","1,92"
PvdD,65+,man,Flevoland,"4,61","2,22","0,1"
SGP,65+,man,Flevoland,"5,23","6,39","0,32"
SP,65+,man,Flevoland,"22,12","2,18","0,51"
VVD,65+,man,Flevoland,"5,96","2,24","0,15"
50Plus,13-17,onbekend,Flevoland,0,"2,05",0
CDA,13-17,onbekend,Flevoland,0,"2,07",0
ChristenUnie,13-17,onbekend,Flevoland,0,"3,64",0
D66,13-17,onbekend,Flevoland,0,"3,06",0
DENK,13-17,onbekend,Flevoland,0,"2,52",0
FvD,13-17,onbekend,Flevoland,0,"2,27",0
GroenLinks,13-17,onbekend,Flevoland,0,"2,17",0
PvdA,13-17,onbekend,Flevoland,0,"24,29",0
PvdD,13-17,onbekend,Flevoland,"0,01","2,22",0
SGP,13-17,onbekend,Flevoland,0,"6,39",0
SP,13-17,onbekend,Flevoland,0,"2,18",0
VVD,13-17,onbekend,Flevoland,0,"2,24",0
50Plus,18-24,onbekend,Flevoland,0,"2,05",0
CDA,18-24,onbekend,Flevoland,0,"2,07",0
ChristenUnie,18-24,onbekend,Flevoland,"0,01","3,64",0
D66,18-24,onbekend,Flevoland,"0,07","3,06",0
DENK,18-24,onbekend,Flevoland,"0,07","2,52",0
FvD,18-24,onbekend,Flevoland,"0,01","2,27",0
GroenLinks,18-24,onbekend,Flevoland,"0,12","2,17",0
PvdA,18-24,onbekend,Flevoland,"0,06","24,29",0
PvdD,18-24,onbekend,Flevoland,"0,08","2,22",0
SGP,18-24,onbekend,Flevoland,"0,01","6,39",0
SP,18-24,onbekend,Flevoland,"0,01","2,18",0
VVD,18-24,onbekend,Flevoland,"0,05","2,24",0
50Plus,25-34,onbekend,Flevoland,0,"2,05",0
CDA,25-34,onbekend,Flevoland,"0,04","2,07",0
ChristenUnie,25-34,onbekend,Flevoland,"0,01","3,64",0
D66,25-34,onbekend,Flevoland,"0,08","3,06",0
DENK,25-34,onbekend,Flevoland,"0,08","2,52",0
FvD,25-34,onbekend,Flevoland,"0,03","2,27",0
